date,light,humidity,temperature,days_since_planting,days_until_harvest
2025-09-01,0.5178718426411335,0.8004231311706631,0.08108108108108093,0,90
2025-09-02,0.45134526233698713,0.8300423131170656,0.0,1,89
2025-09-03,0.6451410250855683,0.688293370944993,0.17567567567567588,2,88
2025-09-04,0.5055023612495125,0.6636107193229895,0.3671171171171176,3,87
2025-09-05,0.6760322343052728,0.935119887165021,0.08558558558558614,4,86
2025-09-06,0.8197435119795504,1.0,0.1193693693693696,5,85
2025-09-07,0.6503617694207356,0.7863187588152327,0.47747747747747754,6,84
2025-09-08,0.71268575884927,0.9259520451339908,0.36486486486486497,7,83
2025-09-09,0.7878124864607254,0.8236953455571228,0.1734234234234233,8,82
2025-09-10,0.7771976950738705,0.6692524682651625,0.3873873873873878,9,81
2025-09-11,0.7341752956977602,0.7997179125528913,0.23648648648648657,10,80
2025-09-12,0.8606429530782896,0.9534555712270797,0.2657657657657656,11,79
2025-09-13,0.8043412330488282,0.7193229901269392,0.42117117117117125,12,78
2025-09-14,0.917161301503401,0.9337094499294784,0.060810810810810696,13,77
2025-09-15,0.8352974307872276,0.33145275035260935,0.12162162162162139,14,76
2025-09-16,1.0,0.8046544428772914,0.35585585585585616,15,75
2025-09-17,0.8481434946492789,0.6889985895627638,0.2995495495495499,16,74
2025-09-18,0.8734023655820806,0.6227080394922422,0.5608108108108111,17,73
2025-09-19,0.9380659416836361,0.6657263751763042,0.3626126126126124,18,72
2025-09-20,0.7917334604219921,0.36036671368124096,0.29279279279279286,19,71
2025-09-21,0.8688748321129934,0.5980253878702397,0.8288288288288286,20,70
2025-09-22,0.9173779298990512,0.667136812411848,0.5427927927927927,21,69
2025-09-23,0.7025258870932803,0.8138222849083216,0.6103603603603603,22,68
2025-09-24,0.7900437589359214,0.5204513399153732,0.35585585585585616,23,67
2025-09-25,0.7627702439235735,0.46755994358251,0.5270270270270269,24,66
2025-09-26,0.761622113426628,0.49858956276445726,0.6576576576576578,25,65
2025-09-27,0.5928469303756337,0.6861777150916784,0.4391891891891889,26,64
2025-09-28,0.5477015727221525,0.5916784203102959,0.7207207207207204,27,63
2025-09-29,0.6259910749100992,0.45839210155148075,0.5518018018018015,28,62
2025-09-30,0.5686278757419522,0.5937940761636106,0.6103603603603603,29,61
2025-10-01,0.5220094449980504,0.5232722143864597,0.5585585585585585,30,60
2025-10-02,0.48422945279667273,0.6339915373765871,1.0,31,59
2025-10-03,0.3735756682986006,0.38645980253878714,0.6621621621621623,32,58
2025-10-04,0.3894112040206229,0.4273624823695345,0.47297297297297314,33,57
2025-10-05,0.3508513495949049,0.4062059238363894,0.8063063063063065,34,56
2025-10-06,0.2442701789350547,0.24330042313117076,0.4324324324324327,35,55
2025-10-07,0.37266582903687023,0.4795486600846258,0.6824324324324325,36,54
2025-10-08,0.2451366925176553,0.46262341325810996,0.28153153153153143,37,53
2025-10-09,0.1024435683029332,0.41466854724964686,0.38288288288288264,38,52
2025-10-10,0.19102291928425982,0.3688293370944994,0.6463963963963965,39,51
2025-10-11,0.05679996533945664,0.1904090267983076,0.7274774774774774,40,50
2025-10-12,0.14665742385511893,0.3187588152327217,0.6103603603603603,41,49
2025-10-13,0.1499935011481304,0.31805359661495086,0.5405405405405409,42,48
2025-10-14,0.004614184827347159,0.24118476727785615,0.48873873873873896,43,47
2025-10-15,0.10801091807114069,0.3194640338504936,0.2567567567567568,44,46
2025-10-16,0.0640353537541701,0.387165021156559,0.36936936936936937,45,45
2025-10-17,0.08688964949525575,0.5846262341325813,0.394144144144144,46,44
2025-10-18,0.15746718079805902,0.3307475317348375,0.641891891891892,47,43
2025-10-19,0.023439192409341003,0.3307475317348375,0.48873873873873896,48,42
2025-10-20,0.0,0.2722143864598024,0.08333333333333354,49,41
2025-10-21,0.00509076729777732,0.0,0.43018018018018006,50,40
2025-10-22,0.027966725878428078,0.25458392101551464,0.27477477477477524,51,39
2025-10-23,0.09804601187123595,0.25528913963328653,0.1914414414414417,52,38
2025-10-24,0.15105498028681594,0.5818053596614948,0.394144144144144,53,37
2025-10-25,0.17618387418222778,0.19534555712270765,0.4369369369369371,54,36
2025-10-26,0.24444348165157487,0.2531734837799719,0.3873873873873878,55,35
2025-10-27,0.22689658160391657,0.19393511988716491,0.03603603603603606,56,34
2025-10-28,0.3583466920843985,0.021861777150916934,0.09909909909909936,57,33
2025-10-29,0.28659936744508474,0.3363892806770094,0.18018018018018028,58,32
2025-10-30,0.5221827477145705,0.268688293370945,0.2612612612612612,59,31
